Fiscal Year,Fund Code,Division Code,Department Code,Costing Center Acct. Reference,Division Name,Department Name,Costing Center Name,GL Account Number,GL Account Name, Adopted Budget 
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50260,Defined Benefit Plan," $ 64,183.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52310,Vehicle / Equip Insurance, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,53505,Food," $ 1,500.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2025 FSA,54110,Misc Operating Expense, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,54075,Recreational Activities, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Family Coaching FY25 FSA,54401,Subgrants, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2025 FSA,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,48201,Trans from General Fund, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2026 FS,50250,Social Security / Medicare," $ 9,960.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,52405,Telephone - Wireless, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENGH CB FY25,51195,Interpreter - Foreign Language, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,AON EN FY25,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Community Foundation 2023 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2026 FS,52701,Contracted Services," $ 70,976.00 "
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,52235,Fleet Charges, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,53505,Food, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,50260,Defined Benefit Plan," $ 13,380.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,54110,Misc Operating Expense, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52615,Mileage, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50301,Life Insurance," $ 1,507.00 "
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENOUGH 2025,52615,Mileage, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Youth Connections FY24 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2025 FS,52701,Contracted Services, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENOUGH 2025,52601,Travel / Training, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52701,Contracted Services," $ 19,000.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,EN SSC FY25,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,41300,State Grants - Operating," $ 42,500.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,52615,Mileage, $ 500.00 
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Youth Connections FY24 FS,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,53505,Food, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,UWG EN FY25,54401,Subgrants, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,54201,County Awarded Funds/Grants," $ 92,753.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,50280,Unemployment Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2026 FSA,48201,Trans from General Fund," $ 27,260.00 "
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,48201,Trans from General Fund, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,53501,Meals, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2025 FSA,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,53505,Food, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2025 FS,52405,Telephone - Wireless, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,53505,Food, $ 700.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,60180,Miscellaneous Recovery, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENOUGH 2025,54110,Misc Operating Expense, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,52405,Telephone - Wireless," $ 3,628.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,50160,Overtime, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50201,Health Insurance Contributions," $ 114,752.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,46615,In-Kind Revenue - Grants, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2025 FS,52601,Travel / Training, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,50290,Worker's Compensation," $ 1,208.00 "
2026,10,30,30.235,999,Division of Family Services,Family Partnership,Family Partnership FS,50290,Worker's Compensation, $ 307.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,50240,Dental Insurance Contributions, $ 678.00 
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,50260,Defined Benefit Plan," $ 16,157.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,50201,Health Insurance Contributions," $ 27,485.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,41055,Federal Grants - Pass Thru, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,50201,Health Insurance Contributions," $ 231,045.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,52401,Telephone, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2025 FSA,41300,State Grants - Operating, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,EN CENTRO FY25,54401,Subgrants, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Getting Ahead FY23,41300,State Grants - Operating, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Healthy Families 2024 FS,48201,Trans from General Fund, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental FY25,53200,Miscellaneous Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental FY25,41300,State Grants - Operating, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,58001,In-Kind Salaries - Grants, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2024 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,52701,Contracted Services, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2024 FS,52701,Contracted Services, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,53505,Food, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,52765,Printing, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2026 FS,50101,Salary & Wages," $ 130,197.00 "
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2024 FSA,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,50301,Life Insurance, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,54401,Subgrants, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,48201,Trans from General Fund, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,52701,Contracted Services," $ 4,000.00 "
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,50301,Life Insurance," $ 1,233.00 "
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2027 FS,52755,Dues / Subscriptions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52405,Telephone - Wireless, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,50290,Worker's Compensation, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2025 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,53505,Food, $ 500.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2027 FSA,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,48205,Trans from Gen Fund-Subsqt Yrs, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2027 FS,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,EN FCPS FY25,41300,State Grants - Operating, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,50239,Family Medical Leave Insurance, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52765,Printing, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,52601,Travel / Training, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2024 FSA,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,53505,Food, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2023 FS,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,48201,Trans from General Fund, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52765,Printing," $ 2,200.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,50280,Unemployment Contributions, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,50301,Life Insurance, $ 379.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,52765,Printing, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Youth Connections FY26 FSA,41300,State Grants - Operating," $ 40,000.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2026 FSA,50280,Unemployment Contributions, $ 30.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50260,Defined Benefit Plan, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENGH CB FY25,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,41055,Federal Grants - Pass Thru, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,50260,Defined Benefit Plan," $ 52,562.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,50301,Life Insurance, $ 196.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,52755,Dues / Subscriptions, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,50201,Health Insurance Contributions," $ 33,010.00 "
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,53215,Computer Hardware / Software, $ 900.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,50101,Salary & Wages," $ 895,956.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,New Horizons FY24 FS,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52405,Telephone - Wireless, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,51195,Interpreter - Foreign Language, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,52401,Telephone, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,52405,Telephone - Wireless, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,50101,Salary & Wages," $ 99,114.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2025 FS,50301,Life Insurance, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Youth Connections FY25 FSA,54401,Subgrants, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,52401,Telephone, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,52701,Contracted Services, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,50101,Salary & Wages, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY26-FP,50260,Defined Benefit Plan," $ 2,727.00 "
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Getting Ahead 2024,48201,Trans from General Fund, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,50101,Salary & Wages, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,51195,Interpreter - Foreign Language, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,50101,Salary & Wages, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,58001,In-Kind Salaries - Grants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,50240,Dental Insurance Contributions, $ 90.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENGH-CB 1224,41300,State Grants - Operating, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2026 FS,50201,Health Insurance Contributions," $ 28,907.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Getting Ahead 2026 - FSA,54401,Subgrants," $ 75,000.00 "
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,53505,Food, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,50201,Health Insurance Contributions," $ 8,480.00 "
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,New Horizons FY24 FS,48201,Trans from General Fund, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,46615,In-Kind Revenue - Grants," $ 103,743.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,53605,Office Supplies," $ 3,000.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental FY25,53505,Food, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2024 FS,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,52405,Telephone - Wireless," $ 1,068.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2027 FSA,48201,Trans from General Fund, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,50240,Dental Insurance Contributions, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY26-FP,53010,Program / Activity Supplies," $ 1,919.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY26-FP,50280,Unemployment Contributions, $ 10.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,50280,Unemployment Contributions, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,53505,Food, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,50239,Family Medical Leave Insurance, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,50290,Worker's Compensation, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,50280,Unemployment Contributions, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,52765,Printing, $ 920.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,41300,State Grants - Operating," $ 330,000.00 "
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2024 FS,52755,Dues / Subscriptions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Family Coaching FY26 FSA,54401,Subgrants," $ 98,000.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,50101,Salary & Wages, $ -   
2026,10,30,30.235,999,Division of Family Services,Family Partnership,Family Partnership FS,52401,Telephone," $ 1,800.00 "
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,50260,Defined Benefit Plan, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2027 FSA,50280,Unemployment Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,New Horizons FY26 FSA,54401,Subgrants," $ 107,000.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,EN AAC FY25,46615,In-Kind Revenue - Grants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Community Foundation 2023 FS,47095,Miscellaneous Revenues, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental FY25,52425,Marketing, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50301,Life Insurance, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50250,Social Security / Medicare, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50201,Health Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,50290,Worker's Compensation, $ 69.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,48205,Trans from Gen Fund-Subsqt Yrs, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,50280,Unemployment Contributions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,50260,Defined Benefit Plan, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY26-FP,53505,Food, $ 200.00 
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2027 FSA,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,50201,Health Insurance Contributions, $ -   
2026,10,30,30.235,999,Division of Family Services,Family Partnership,Family Partnership FS,50250,Social Security / Medicare," $ 31,407.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,50301,Life Insurance, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,53605,Office Supplies, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Family Coaching FY24 FS,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,50260,Defined Benefit Plan, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2026 FSA,41300,State Grants - Operating," $ 310,740.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,50260,Defined Benefit Plan, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,53505,Food, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,50250,Social Security / Medicare," $ 7,582.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,52755,Dues / Subscriptions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2023 FS,52755,Dues / Subscriptions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2023 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,54090,Event Expense, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,54090,Event Expense, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,53605,Office Supplies, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Getting Ahead 2026 - FSA,41300,State Grants - Operating," $ 75,000.00 "
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50280,Unemployment Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,50301,Life Insurance, $ 336.00 
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,50160,Overtime, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2023 FS,52701,Contracted Services, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2023 FS,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50101,Salary & Wages, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,50101,Salary & Wages, $ -   
